Estado,Ano,Animal,Quantidade
RR,2015,Galináceos - galinhas,325288.0
RR,2015,Codornas,27000.0
RR,2016,Bovino,780877.0
RR,2016,Bubalino,317.0
RR,2016,Equino,27045.0
RR,2016,Suíno - total,49073.0
RR,2016,Suíno - matrizes de suínos,18646.0
RR,2016,Caprino,4223.0
RR,2016,Ovino,25561.0
RR,2016,Galináceos - total,512917.0
RR,2016,Galináceos - galinhas,327186.0
RR,2016,Codornas,27000.0
RR,2017,Bovino,787318.0
RR,2017,Bubalino,450.0
RR,2017,Equino,37063.0
RR,2017,Suíno - total,77599.0
RR,2017,Suíno - matrizes de suínos,6077.0
RR,2017,Caprino,10827.0
RR,2017,Ovino,29029.0
RR,2017,Galináceos - total,531960.0
RR,2017,Galináceos - galinhas,332477.0
RR,2017,Codornas,15244.0
RR,2018,Bovino,817198.0
RR,2018,Bubalino,341.0
RR,2018,Equino,37360.0
RR,2018,Suíno - total,78510.0
RR,2018,Suíno - matrizes de suínos,6260.0
RR,2018,Caprino,11115.0
RR,2018,Ovino,29370.0
RR,2018,Galináceos - total,693690.0
RR,2018,Galináceos - galinhas,485910.0
RR,2018,Codornas,11500.0
PA,2003,Bovino,13376606.0
PA,2003,Bubalino,497166.0
PA,2003,Equino,260058.0
PA,2003,Suíno - total,1105213.0
PA,2003,Suíno - matrizes de suínos,0.0
PA,2003,Caprino,74448.0
PA,2003,Ovino,164706.0
PA,2003,Galináceos - total,17279944.0
PA,2003,Galináceos - galinhas,3298768.0
PA,2003,Codornas,52762.0
PA,2004,Bovino,17430496.0
PA,2004,Bubalino,463754.0
PA,2004,Equino,282835.0
PA,2004,Suíno - total,1043464.0
PA,2004,Suíno - matrizes de suínos,0.0
PA,2004,Caprino,78714.0
PA,2004,Ovino,178400.0
PA,2004,Galináceos - total,12875016.0
PA,2004,Galináceos - galinhas,3073430.0
PA,2004,Codornas,43758.0
PA,2005,Bovino,18063669.0
PA,2005,Bubalino,466210.0
PA,2005,Equino,290769.0
PA,2005,Suíno - total,1015415.0
PA,2005,Suíno - matrizes de suínos,0.0
PA,2005,Caprino,80311.0
PA,2005,Ovino,203027.0
PA,2005,Galináceos - total,13133236.0
PA,2005,Galináceos - galinhas,3215121.0
PA,2005,Codornas,43869.0
PA,2006,Bovino,17501678.0
PA,2006,Bubalino,429246.0
PA,2006,Equino,276474.0
PA,2006,Suíno - total,870450.0
PA,2006,Suíno - matrizes de suínos,0.0
PA,2006,Caprino,79485.0
PA,2006,Ovino,201559.0
PA,2006,Galináceos - total,12626920.0
PA,2006,Galináceos - galinhas,3235044.0
PA,2006,Codornas,43680.0
PA,2007,Bovino,15353989.0
PA,2007,Bubalino,435775.0
PA,2007,Equino,283410.0
PA,2007,Suíno - total,779307.0
PA,2007,Suíno - matrizes de suínos,0.0
PA,2007,Caprino,91697.0
PA,2007,Ovino,213599.0
PA,2007,Galináceos - total,13063342.0
PA,2007,Galináceos - galinhas,2993559.0
PA,2007,Codornas,41436.0
PA,2008,Bovino,16240697.0
PA,2008,Bubalino,442405.0
PA,2008,Equino,286950.0
PA,2008,Suíno - total,761403.0
PA,2008,Suíno - matrizes de suínos,0.0
PA,2008,Caprino,94507.0
PA,2008,Ovino,202005.0
PA,2008,Galináceos - total,13064103.0
PA,2008,Galináceos - galinhas,2991021.0
PA,2008,Codornas,34140.0
PA,2009,Bovino,16856561.0
PA,2009,Bubalino,435937.0
PA,2009,Equino,293236.0
PA,2009,Suíno - total,750414.0
PA,2009,Suíno - matrizes de suínos,0.0
PA,2009,Caprino,91230.0
PA,2009,Ovino,197739.0
PA,2009,Galináceos - total,13023395.0
PA,2009,Galináceos - galinhas,2953023.0
PA,2009,Codornas,34739.0
PA,2010,Bovino,17633339.0
PA,2010,Bubalino,457075.0
PA,2010,Equino,289261.0
PA,2010,Suíno - total,734858.0
PA,2010,Suíno - matrizes de suínos,0.0
PA,2010,Caprino,75528.0
PA,2010,Ovino,203368.0
PA,2010,Galináceos - total,12508883.0
PA,2010,Galináceos - galinhas,2850858.0
PA,2010,Codornas,35146.0
PA,2011,Bovino,18262547.0
PA,2011,Bubalino,485033.0
PA,2011,Equino,297082.0
PA,2011,Suíno - total,741833.0
PA,2011,Suíno - matrizes de suínos,0.0
PA,2011,Caprino,73370.0
PA,2011,Ovino,213052.0
PA,2011,Galináceos - total,13034465.0
PA,2011,Galináceos - galinhas,2952067.0
PA,2011,Codornas,34313.0
PA,2012,Bovino,18605051.0
PA,2012,Bubalino,454079.0
PA,2012,Equino,270658.0
PA,2012,Suíno - total,713264.0
PA,2012,Suíno - matrizes de suínos,0.0
PA,2012,Caprino,59895.0
PA,2012,Ovino,175757.0
PA,2012,Galináceos - total,12858203.0
PA,2012,Galináceos - galinhas,2855547.0
PA,2012,Codornas,34023.0
PA,2013,Bovino,19165028.0
PA,2013,Bubalino,507882.0
PA,2013,Equino,284437.0
PA,2013,Suíno - total,542746.0
PA,2013,Suíno - matrizes de suínos,152477.0
PA,2013,Caprino,55664.0
PA,2013,Ovino,193427.0
PA,2013,Galináceos - total,13081808.0
PA,2013,Galináceos - galinhas,2928758.0
PA,2013,Codornas,36170.0
PA,2014,Bovino,19911217.0
PA,2014,Bubalino,493646.0
PA,2014,Equino,312077.0
PA,2014,Suíno - total,559417.0
PA,2014,Suíno - matrizes de suínos,153273.0
PA,2014,Caprino,64396.0
PA,2014,Ovino,213809.0
PA,2014,Galináceos - total,19667643.0
PA,2014,Galináceos - galinhas,2919755.0
PA,2014,Codornas,36778.0
PA,2015,Bovino,20271618.0
PA,2015,Bubalino,522250.0
PA,2015,Equino,342779.0
PA,2015,Suíno - total,557848.0
PA,2015,Suíno - matrizes de suínos,148650.0
PA,2015,Caprino,77084.0
PA,2015,Ovino,235388.0
PA,2015,Galináceos - total,26020054.0
PA,2015,Galináceos - galinhas,3083862.0
PA,2015,Codornas,31036.0
