Estado,Ano,area_colhida
RR,2007,46590
RR,2008,50653
RR,2009,40223
RR,2010,40111
RR,2011,46500
RR,2012,48359
RR,2013,61176
RR,2014,59223
RR,2015,65113
RR,2016,61462
RR,2017,57352
RR,2018,75815
RR,2019,81597
RR,2020,94052
RR,2021,123264
RR,2022,150608
RR,2023,175947
RS,2003,7895995
RS,2004,8231761
RS,2005,7465115
RS,2006,7818575
RS,2007,7965033
RS,2008,8066724
RS,2009,7989189
RS,2010,7893089
RS,2011,8127158
RS,2012,7993733
RS,2013,8720492
RS,2014,9031185
RS,2015,8941887
RS,2016,8869923
RS,2017,9055832
RS,2018,8995602
RS,2019,9170906
RS,2020,9500873
RS,2021,9954418
RS,2022,10355832
RS,2023,10664286
SC,2003,1791683
SC,2004,1797170
SC,2005,1741479
SC,2006,1745517
SC,2007,1757281
SC,2008,1756048
SC,2009,1715293
SC,2010,1665337
SC,2011,1625025
SC,2012,1553974
SC,2013,1592682
SC,2014,1615086
SC,2015,1581244
SC,2016,1573363
SC,2017,1548103
SC,2018,1512716
SC,2019,1505000
SC,2020,1509824
SC,2021,1569221
SC,2022,1668620
SC,2023,1667894
SE,2003,289016
SE,2004,320021
SE,2005,361398
SE,2006,376663
SE,2007,390410
SE,2008,398469
SE,2009,418378
SE,2010,433382
SE,2011,378805
SE,2012,292910
SE,2013,361089
SE,2014,359618
SE,2015,343090
SE,2016,262675
SE,2017,334945
SE,2018,159459
SE,2019,262702
SE,2020,275690
SE,2021,286925
SE,2022,297674
SE,2023,304631
SP,2003,6242419
SP,2004,6476253
SP,2005,6645687
SP,2006,6822339
SP,2007,6820275
SP,2008,7561284
SP,2009,7406883
SP,2010,7624858
SP,2011,7886155
SP,2012,7884934
SP,2013,8098889
SP,2014,8320378
SP,2015,8425060
SP,2016,8624268
SP,2017,8820082
SP,2018,8650001
SP,2019,8842804
SP,2020,8857885
SP,2021,8795581
SP,2022,9056594
SP,2023,9198986
TO,2003,413314
TO,2004,541258
TO,2005,689319
TO,2006,589759
TO,2007,588620
TO,2008,649655
TO,2009,613357
TO,2010,665797
TO,2011,712276
TO,2012,737033
TO,2013,839223
TO,2014,1037140
TO,2015,1203553
TO,2016,1200125
TO,2017,1282462
TO,2018,1361419
TO,2019,1426906
TO,2020,1544660
TO,2021,1734385
TO,2022,1873313
TO,2023,2151789
