Estado,Ano,venda_comb
PA,2009,3383827.8105426
PA,2010,3646043.8829936
PA,2011,3920434.2202549
PA,2012,4350723.8633505
PA,2013,4518600.1366604995
PA,2014,4862503.232004
PA,2015,4972365.7615579
PA,2016,4738742.79076
PA,2017,4755482.02494
PA,2018,4455127.19343
PA,2019,4708141.33658
PA,2020,5025527.5296
PA,2021,5369954.45241
PA,2022,5470327.05402
PA,2023,5623580.896269999
PB,2003,780784.3412748
PB,2004,831010.194365
PB,2005,820476.1416387
PB,2006,849211.0988889
PB,2007,928402.033032436
PB,2008,1009671.793078882
PB,2009,1059683.90907813
PB,2010,1170591.996638186
PB,2011,1268235.569643044
PB,2012,1507361.906084946
PB,2013,1761268.77333039
PB,2014,2158677.914446
PB,2015,2083931.857914826
PB,2016,1760805.24558
PB,2017,1827613.88567
PB,2018,1727130.94279
PB,2019,1650888.2825500001
PB,2020,1530736.19417
PB,2021,1883218.60339
PB,2022,1546146.30256
PB,2023,1669276.35244
PE,2003,2025079.899667
PE,2004,2141088.870612
PE,2005,2184178.616073
PE,2006,2257536.9724449
PE,2007,2390421.8457135498
PE,2008,2714325.85616
PE,2009,2844835.4206657
PE,2010,3195694.30517582
PE,2011,3408260.0434808102
PE,2012,3782716.433450143
PE,2013,4321126.54290032
PE,2014,4877489.67116
PE,2015,4574805.71028554
PE,2016,4095573.20149
PE,2017,4265773.77476
PE,2018,4040082.01301
PE,2019,3983030.42422
PE,2020,3668037.136
PE,2021,4368860.66406
PE,2022,3897581.78901
PE,2023,4056991.39015
PI,2003,559284.7651651
PI,2004,624532.8527898
PI,2005,632518.04762484
PI,2006,662065.96914012
PI,2007,703670.175950004
PI,2008,815732.4303614299
PI,2009,848219.92060414
PI,2010,963180.21727788
PI,2011,1002323.38679496
PI,2012,1164707.31710049
PI,2013,1249657.66807266
PI,2014,1380393.755865
PI,2015,1368081.88312609
PI,2016,1320323.21863
PI,2017,1353624.33433
PI,2018,1337514.76289
PI,2019,1390030.34796
PI,2020,1324121.44052
PI,2021,1374936.40802
PI,2022,1468262.87611
PI,2023,1525112.05655
PR,2003,6477624.80085
PR,2004,6818714.84199
PR,2005,6890035.08811
PR,2006,6774217.09611
PR,2007,7175540.5022618
PR,2008,7722081.48553572
PR,2009,7774870.732671
PR,2010,8649380.1840133
PR,2011,8924969.9974907
PR,2012,9582155.4619337
PR,2013,10259350.4485851
PR,2014,10637473.90539
PR,2015,10642360.047052
PR,2016,10593144.76704
PR,2017,10758952.15927
PR,2018,10805295.21881
PR,2019,11127130.68264
PR,2020,10870255.44963
PR,2021,11277556.9926
PR,2022,11397895.78099
PR,2023,11909394.92361
RJ,2003,5745275.480724
RJ,2004,5786547.691963
RJ,2005,5844614.518289
RJ,2006,5721926.579593
RJ,2007,6165712.81638386
RJ,2008,6543720.62340309
RJ,2009,6831918.94941127
RJ,2010,7281822.5736610405
RJ,2011,7902656.82256546
RJ,2012,8286492.12371799
RJ,2013,8534008.819296
RJ,2014,8825297.322110001
RJ,2015,8663521.43564424
RJ,2016,8056805.38841
RJ,2017,7530532.61172
RJ,2018,6998087.0886699995
RJ,2019,7086378.92623
RJ,2020,5884002.68348
RJ,2021,6142436.05086
RJ,2022,6765051.2496299995
RJ,2023,7527001.7455400005
RN,2003,784881.12881671
RN,2004,868258.40535007
RN,2005,874015.16958363
RN,2006,922599.73515569
RN,2007,969262.365845216
RN,2008,1050142.02071178
RN,2009,1100018.59373081
RN,2010,1195535.0547626
RN,2011,1283310.82584227
RN,2012,1430263.48634553
RN,2013,1515886.35550079
RN,2014,1623792.02435
RN,2015,1609589.3154890891
RN,2016,1482512.03886
RN,2017,1463897.09342
RN,2018,1443137.54026
RN,2019,1447633.05479
RN,2020,1356757.29531
RN,2021,1437843.69548
RN,2022,1426273.2655
RN,2023,1465573.61104
RO,2003,776391.4441906901
RO,2004,847814.613636
RO,2005,930558.51837591
RO,2006,932720.019
RO,2007,937002.580293528
RO,2008,1015126.2307737356
RO,2009,1352771.47539794
RO,2010,1465194.32479111
RO,2011,1250043.50666173
RO,2012,1286316.79699672
RO,2013,1298011.04243188
RO,2014,1352786.383155
RO,2015,1369795.24933547
RO,2016,1339615.255565
RO,2017,1401132.051438
RO,2018,1422703.58268
