Estado,Ano,co2
AM,2007,52489278.50882132
GO,2007,77582912.2489461
TO,2007,44219433.26622662
RS,2007,89338642.88112152
MS,2007,73673589.48534924
PR,2007,70118154.69344608
RJ,2007,56921705.20025947
SC,2007,43056731.72660041
PI,2007,17911143.279982917
CE,2007,23443747.448856004
AC,2007,25845620.818597216
ES,2007,25808194.88066482
RR,2007,22294295.589803744
PE,2007,19176714.496372573
PB,2007,9357093.529149028
RN,2007,8470614.237430386
AL,2007,7781294.539184935
SE,2007,7464643.30450817
DF,2007,5678007.831345214
AP,2007,3321903.4603593806
PA,2008,431587721.2577786
MT,2008,292040983.0819918
MA,2008,130671315.73492138
MG,2008,171194933.69144025
SP,2008,151665278.12369463
BA,2008,101273333.977338
RO,2008,94422489.64925754
AM,2008,45357162.5611882
GO,2008,78300066.89494482
TO,2008,46772189.75061848
RS,2008,101557048.33463594
MS,2008,74458628.58423772
PR,2008,71901554.12189144
RJ,2008,66325263.760129206
SC,2008,43789335.82112098
PI,2008,20473264.550461
CE,2008,22783884.029310595
AC,2008,26276979.38679711
ES,2008,23818104.46855134
RR,2008,26264429.885607146
PE,2008,18175465.548954647
PB,2008,9460963.771904051
RN,2008,9305327.830571365
AL,2008,6744390.368901899
SE,2008,7899211.039540034
DF,2008,5740211.439793736
AP,2008,4026452.140438001
PA,2009,305178123.4579136
MT,2009,175141873.90271524
MA,2009,96849035.43370128
MG,2009,159978380.21823394
SP,2009,146712177.29026815
BA,2009,95992646.53422396
RO,2009,62404191.41337457
AM,2009,46849313.77712411
GO,2009,78059133.36780606
TO,2009,44483069.85807884
RS,2009,98247902.42423908
MS,2009,70513222.59969905
PR,2009,67781709.7037526
RJ,2009,65176239.193411246
SC,2009,43703015.7527196
PI,2009,16335663.88148166
CE,2009,21396443.2647872
AC,2009,26394153.086990736
ES,2009,24712771.79364225
RR,2009,14010001.275786247
PE,2009,19009407.91223692
PB,2009,8764581.50377765
RN,2009,8700155.179411214
AL,2009,6971497.232141186
SE,2009,8261133.07079803
DF,2009,5914045.16268586
AP,2009,4304161.721305871
PA,2010,263816142.73005325
MT,2010,173071532.86796302
MA,2010,87310974.86020853
MG,2010,165559211.94286287
SP,2010,154845952.01316452
BA,2010,87120287.10990629
RO,2010,59959920.16720119
AM,2010,58537702.16566311
GO,2010,81279872.28531551
TO,2010,44872110.80833943
RS,2010,102330150.26340386
MS,2010,72152909.70690279
PR,2010,70173142.04232864
RJ,2010,68560666.77161631
SC,2010,45299731.91412495
PI,2010,26685965.376082063
CE,2010,24943942.973534588
AC,2010,28110621.14654153
ES,2010,28639714.048798405
RR,2010,11866202.54833084
PE,2010,21843239.726693757
PB,2010,10141541.272459462
RN,2010,11055310.98842889
AL,2010,8453119.611956337
SE,2010,8355486.36792736
DF,2010,6631357.774559229
AP,2010,3705752.691345386
PA,2011,229223085.0652584
MT,2011,222939529.4797767
MA,2011,93907076.02882189
MG,2011,167071156.936903
SP,2011,163417563.05986983
BA,2011,90169363.84153607
RO,2011,95128694.02799124
AM,2011,43011745.61974986
GO,2011,79777209.72844885
TO,2011,44885461.37868205
RS,2011,106703069.22961736
MS,2011,68103567.6110279
PR,2011,70932934.68784693
RJ,2011,70079669.60891986
SC,2011,42435981.40078057
PI,2011,18797688.566743143
CE,2011,24046808.8252807
AC,2011,23278814.49024828
ES,2011,30951856.904069908
RR,2011,10590644.788025886
PE,2011,23349092.976685576
PB,2011,10349492.186004523
RN,2011,10531459.856252462
AL,2011,8810549.072193861
SE,2011,8574203.066505512
DF,2011,7215068.936636336
AP,2011,3637065.5858020745
PA,2012,238745127.42903483
MT,2012,197600019.3659989
MA,2012,115968724.44143006
MG,2012,174059290.63480556
SP,2012,166395446.93805563
BA,2012,99337308.46209756
RO,2012,81125660.2162324
AM,2012,44351366.50718324
GO,2012,84951469.09240024
TO,2012,55314213.58701597
RS,2012,105963730.15804654
MS,2012,69903183.30886544
PR,2012,73442340.3351431
RJ,2012,75962864.1671865
SC,2012,45268204.471527554
PI,2012,37056500.08943464
CE,2012,24666791.09755858
AC,2012,22605305.48905868
ES,2012,31692487.971824244
RR,2012,13033552.531398872
PE,2012,23089137.40792061
PB,2012,9996425.399741098
RN,2012,10706009.113171808
AL,2012,8488083.270067455
SE,2012,8633295.934783503
DF,2012,7609741.601389112
AP,2012,4228806.597067775
PA,2013,275266825.3962799
MT,2013,250575952.35877663
MA,2013,118902883.20531072
MG,2013,181230094.36433417
SP,2013,170761369.94708097
BA,2013,102996272.34521157
RO,2013,89779575.47411989
AM,2013,54903569.85234918
GO,2013,86265927.22177176
TO,2013,65699347.19761991
RS,2013,117516467.80093548
MS,2013,72904933.43630342
PR,2013,77219731.45101744
RJ,2013,79649221.59707199
SC,2013,49588122.29060644
PI,2013,28918363.14220388
CE,2013,28734313.952089146
AC,2013,26905714.99219597
ES,2013,34305865.823283754
RR,2013,22774398.41118604
PE,2013,22837801.57704516
PB,2013,10651626.68825138
RN,2013,12236395.555744931
AL,2013,8493127.961314432
SE,2013,9061731.86584359
DF,2013,7882763.199581262
AP,2013,3950591.6286485847
PA,2014,260838678.34529525
MT,2014,225923582.3984453
MA,2014,98316208.93006957
MG,2014,175856321.90967992
SP,2014,166613131.54719907
BA,2014,92494813.28910124
RO,2014,91158231.3191302
AM,2014,55550696.04578637
GO,2014,87231517.3258291
TO,2014,59116179.48717386
RS,2014,104737940.41344775
MS,2014,72975237.07497579
PR,2014,77584027.0159317
RJ,2014,76486174.51845911
SC,2014,48687922.56435053
PI,2014,27795271.81987557
CE,2014,33414192.52724788
AC,2014,28995881.645117607
ES,2014,34523346.73197899
RR,2014,26245525.65459474
PE,2014,24992778.020428643
PB,2014,12680618.607145932
RN,2014,13427552.798110023
AL,2014,8598414.246894466
SE,2014,8882888.355474858
DF,2014,8636682.22406498
AP,2014,4523349.356828888
PA,2015,297073765.34908694
MT,2015,248465171.09833968
MA,2015,106302230.84583925
MG,2015,172766415.25856912
SP,2015,158430567.48936328
BA,2015,85433893.24772629
RO,2015,118043561.57468162
AM,2015,78728484.64498511
GO,2015,87424880.85823096
TO,2015,63567866.07087045
RS,2015,104814774.60973594
MS,2015,72569047.3972728
PR,2015,79074017.45328651
RJ,2015,75986684.41587874
SC,2015,47601908.31132504
PI,2015,25138634.746207032
CE,2015,32122307.507984757
AC,2015,31383914.81297627
ES,2015,35107749.258349165
RR,2015,31955252.397917543
PE,2015,24400260.93254143
PB,2015,13317037.460555928
RN,2015,12086288.04698705
AL,2015,8561234.469237193
SE,2015,8857927.094288561
DF,2015,8834661.593876693
AP,2015,3958983.0880265646
PA,2016,358915895.15797746
MT,2016,212761358.19761655
MA,2016,106634722.13898696
MG,2016,164322115.77846748
SP,2016,149843632.97883388
BA,2016,84311342.00512448
RO,2016,131983987.03177556
AM,2016,109492504.75621742
GO,2016,83628724.38317564
TO,2016,56644452.48272732
RS,2016,100614960.80757476
MS,2016,71978140.07689397
PR,2016,76874054.93077153
RJ,2016,68378871.038811
SC,2016,47567964.55336247
PI,2016,17895174.748293377
CE,2016,30444532.881744392
AC,2016,27922279.35916194
ES,2016,33881927.256078325
RR,2016,28755725.343996447
PE,2016,23217020.294038106
PB,2016,13614014.420919346
RN,2016,10505100.942029351
AL,2016,8485819.979261182
SE,2016,8699014.708541946
DF,2016,8046813.88970858
AP,2016,7614345.034755352
PA,2017,296520277.6575735
MT,2017,220687740.62057945
MA,2017,95589321.1732568
MG,2017,156978851.40636256
