Estado,Ano,temp_media,chuva_media
DF,2022,21.5027579659133,1292.72
DF,2023,22.28084357699165,1075.28
ES,2006,24.53700227912589,604.0799999999999
ES,2007,23.571775927779083,884.7333333333335
ES,2008,22.6699825023303,1453.925
ES,2009,23.610202936904027,1584.45
ES,2010,23.362199767850235,1456.05
ES,2011,22.59997427027645,1495.3333333333333
ES,2012,23.09904169936957,1336.2444444444445
ES,2013,22.910355703292673,1536.9777777777776
ES,2014,22.999933704587644,864.9555555555556
ES,2015,23.98624843978944,767.5333333333333
ES,2016,23.697255760004218,978.5555555555555
ES,2017,22.586387278646868,834.3538461538462
ES,2018,23.003291253381423,1291.5384615384614
ES,2019,23.678318758159417,1036.0153846153846
ES,2020,23.57120998116761,1071.8
ES,2021,22.875553325178515,1013.1384615384616
ES,2022,22.837516601457338,1205.4923076923078
ES,2023,23.496147662994936,975.2333333333332
GO,2003,22.553258899441744,1087.6
GO,2004,23.024842573157176,1470.2
GO,2005,23.517338185599165,1215.3
GO,2006,23.460851459708504,1075.7
GO,2007,23.96598037135871,580.7222222222222
GO,2008,23.203722075249853,1475.7
GO,2009,23.39189470553242,1375.02
GO,2010,23.645074370609155,1089.0761904761905
GO,2011,23.031633845826878,1367.009523809524
GO,2012,23.436883165764666,1166.7619047619048
GO,2013,23.28345825229989,1320.009090909091
GO,2014,23.525043447189333,1095.0
GO,2015,24.11520160692823,1126.695238095238
GO,2016,24.05672417636792,1062.6272727272726
GO,2017,23.770354219670374,1126.2666666666667
GO,2018,23.63007891632238,1277.276923076923
GO,2019,24.299693916710204,1095.5461538461539
GO,2020,23.93128176111937,1194.4
GO,2021,23.817688301282054,1181.1923076923076
GO,2022,23.64567935907994,1082.8615384615384
GO,2023,24.351144652010305,910.0076923076923
MA,2003,26.832168148259754,1807.2
MA,2004,26.913035835023663,2238.2000000000003
MA,2005,27.33108983799705,1357.6
MA,2006,27.029332767882387,1438.6
MA,2007,26.9638801674516,625.3333333333334
MA,2008,26.965013816006284,618.5375
MA,2009,26.595579322638145,1965.725
MA,2010,27.328513467910174,1010.575
MA,2011,26.63062906334738,1425.4875
MA,2012,27.01242128138223,909.8
MA,2013,27.090228983332196,976.2125000000001
MA,2014,26.830024411311825,1235.725
MA,2015,27.405217624123566,786.55
MA,2016,27.72729416164622,795.1125000000001
MA,2017,27.184489536804747,1092.4941176470588
MA,2018,26.969032033030768,1098.0588235294117
MA,2019,27.115347555657003,1080.2235294117647
MA,2020,27.057530220526807,1045.2
MA,2021,27.033643332425385,1173.68
MA,2022,27.135945475770825,817.12
MA,2023,27.372976964949547,973.3199999999999
MG,2003,22.531175712444508,722.9200000000001
MG,2004,21.833010218978103,1129.1333333333332
MG,2005,20.726268236241072,1212.1714285714286
MG,2006,21.05610498901416,869.5153846153846
MG,2007,21.713341442549325,714.4960000000001
MG,2008,21.499288472849802,1301.8615384615384
MG,2009,21.82143723198445,1414.1653846153847
MG,2010,21.704563415357782,1133.7396226415094
MG,2011,21.306751639543627,1283.754716981132
MG,2012,21.871596328404777,1018.6370370370371
MG,2013,21.60260331930299,1362.648148148148
MG,2014,21.904742933556633,829.6036363636363
MG,2015,22.56793392961617,953.7035714285714
MG,2016,22.3716540181725,1136.6333333333334
MG,2017,22.01954915095989,888.5194029850745
MG,2018,21.998590971224036,1234.5671641791046
MG,2019,22.672402034720893,1011.8328358208955
MG,2020,21.889933577667023,1311.6939393939394
MG,2021,21.90383718028449,1090.9194029850746
MG,2022,21.690678945863773,1202.1235294117648
MG,2023,22.74309114001664,970.1641791044776
MS,2003,23.64511516314779,790.6666666666666
MS,2004,23.618687603993344,747.8999999999999
MS,2005,23.731901692958832,899.0999999999999
MS,2006,24.402545552538296,587.8666666666667
MS,2007,24.242332137738952,1130.1066666666666
MS,2008,23.670030238100004,907.9454545454545
MS,2009,23.745754535826922,1246.3181818181818
MS,2010,23.58790417507447,918.7478260869566
MS,2011,23.563651733351072,1027.768
MS,2012,23.99569393203997,1148.037037037037
MS,2013,23.46486651525988,1285.064285714286
MS,2014,23.894574557486106,1325.892857142857
MS,2015,24.280347914278153,1303.457142857143
MS,2016,23.34630380898035,960.4142857142857
MS,2017,24.048447839192395,1153.5714285714287
MS,2018,23.31587521589867,1003.8622222222223
MS,2019,24.65054616105106,948.2727272727273
MS,2020,24.190254047608676,623.8926829268293
MS,2021,24.23745624466143,458.8529411764706
