Estado,Ano,co2,frota,rebanho,venda_comb,desmat_area,temp_media,chuva_media,area_destinada_colheita,area_colhida,consumo_energia_industrial,frp_anual_queimadas
BA,2011,90169363.84153607,2538527.0,10667903.0,6292085.63601,364750.3860543879,25.060682781532822,1761.6,4904232,4572010,9334121.0,1081144.8
BA,2012,99337308.46209756,2824597.0,10250975.0,6858743.4822578,440128.86878644425,25.442225262197905,1058.1999999999998,4397344,3973317,9602149.0,1808079.9
BA,2013,102996272.34521157,3099264.0,10828409.0,7397504.1604852,457385.84635863005,25.929211726384366,1759.8000000000002,4515117,4198595,9902533.0,529950.3
BA,2014,92494813.28910124,3359699.0,10824134.0,8084199.11855,382221.94538798823,25.439780085522298,1440.3999999999999,4902220,4579150,10683989.0,598204.3
BA,2015,85433893.24772629,3568326.0,10758372.0,7492442.48165,346783.51015981415,25.936891984471337,1441.8,5032413,4846152,9450773.175,1593228.8
BA,2016,84311342.00512448,3725116.0,10363291.0,6901898.4601,299817.39450770913,26.174760184377728,1110.0,4574500,4315806,8628020.235,374428.7
BA,2017,78668624.15476108,3883763.0,10037814.0,7051407.56284,301990.8103270566,25.625145664343655,1597.2,4075524,3824862,8964530.919000002,509030.4
BA,2018,86972207.11365575,4051383.0,9923931.0,6892076.86493,327323.0753975763,25.45351994311203,1283.1,4127884,3977002,9281484.498,317817.4
BA,2019,92658441.55471931,4237842.0,10214863.0,6963228.12522,378793.76013402035,26.0184662138005,1581.8,4122259,4012783,9237346.946,534494.5
BA,2020,100302355.98405272,4403458.0,9748632.0,6760290.19878,426132.0618198653,,,4139407,4094295,9172165.451,640488.7
BA,2021,112067043.71933933,4583005.0,11755096.0,7238693.86196,453106.6162740056,,,4200124,4146367,9454169.801,1637257.5
BA,2022,120289305.5695924,4765676.0,12526243.0,7046153.94628,550260.6804056619,,,4377527,4340110,9605372.518,728509.2
BA,2023,134962851.35631758,4987181.0,13290719.0,7554887.73057,594994.1745815708,,,4590303,4522809,9619949.117,823073.5
CE,2004,20122183.02909877,880903.0,2269567.0,1531731.9130519,155402.76522694653,,,1895118,1875313,1863272.455,698235.7999999999
CE,2005,26390888.06591555,950804.0,2299233.0,1582309.2445004,149152.93382759346,,,1744157,1740442,1949812.3869999999,504270.7
CE,2006,23603929.845816977,1043045.0,2352589.0,1720709.9533004,149219.95450382048,27.168501170960187,84.6,1858769,1858755,1930622.3080000004,373126.4
