Estado,Ano,frp_anual_queimadas
RN,2020,38908.9
RN,2021,30841.1
RN,2022,28017.7
RN,2023,31198.3
RO,2004,3452354.9000000004
RO,2005,3680899.6
RO,2006,2127362.0
RO,2007,1907729.7000000002
RO,2008,623775.3
RO,2009,243523.1
RO,2010,1065666.6
RO,2011,326917.4
RO,2012,481333.5
RO,2013,197708.9
RO,2014,426841.3
RO,2015,920464.5
RO,2016,788508.2
RO,2017,714640.0
RO,2018,608323.3
RO,2019,890840.8
RO,2020,741960.3
RO,2021,764892.7
RO,2022,931114.0
RO,2023,429817.3
RR,2004,94543.7
RR,2005,69442.4
RR,2006,88758.7
RR,2007,151244.1
RR,2008,108203.6
RR,2009,90534.0
RR,2010,84269.9
RR,2011,43166.8
RR,2012,43806.7
RR,2013,56912.6
RR,2014,114242.1
RR,2015,117987.3
RR,2016,178876.9
RR,2017,57345.1
RR,2018,124468.3
RR,2019,247923.1
RR,2020,65969.7
RR,2021,26436.5
RR,2022,36032.1
RR,2023,88220.6
RS,2004,76912.5
RS,2005,50297.1
RS,2006,66675.9
RS,2007,42932.2
RS,2008,40441.3
RS,2009,47531.6
RS,2010,37220.8
RS,2011,29893.2
RS,2012,42419.8
RS,2013,26750.2
RS,2014,31195.1
RS,2015,21985.1
RS,2016,60481.4
RS,2017,38049.3
RS,2018,29037.3
RS,2019,56788.0
RS,2020,76111.3
RS,2021,48651.3
RS,2022,54815.2
RS,2023,32598.9
SC,2004,117264.9
SC,2005,71817.6
SC,2006,110966.3
SC,2007,50444.4
SC,2008,39316.4
SC,2009,37771.2
SC,2010,37114.8
SC,2011,30092.5
SC,2012,33479.0
SC,2013,30889.5
SC,2014,20254.2
SC,2015,14961.2
SC,2016,46948.9
SC,2017,40735.6
SC,2018,27703.0
SC,2019,38163.8
SC,2020,50372.3
SC,2021,49528.5
SC,2022,25937.9
SC,2023,24509.7
SE,2004,10129.099999999999
SE,2005,11307.8
SE,2006,11730.5
SE,2007,8159.200000000001
SE,2008,12905.4
SE,2009,9982.9
SE,2010,5930.6
SE,2011,9139.8
SE,2012,8744.1
SE,2013,7270.4
SE,2014,3172.7
SE,2015,10163.1
SE,2016,3980.6
SE,2017,2871.7
SE,2018,3846.8
SE,2019,2775.7
SE,2020,3039.4
SE,2021,5910.0
SE,2022,1933.3
SE,2023,3880.6
SP,2004,123441.20000000001
SP,2005,110608.9
SP,2006,173628.2
SP,2007,146265.8
SP,2008,107217.5
SP,2009,51523.5
SP,2010,514138.8
SP,2011,250304.0
SP,2012,112777.5
SP,2013,90435.2
SP,2014,296907.8
SP,2015,89274.9
SP,2016,142631.3
SP,2017,233996.6
SP,2018,161470.8
SP,2019,163680.1
SP,2020,528245.8
SP,2021,532292.7
SP,2022,64946.9
SP,2023,70510.2
TO,2004,774779.5
TO,2005,866375.8
TO,2006,454700.5
TO,2007,1436615.4
TO,2008,586334.4
TO,2009,251940.3
TO,2010,1830522.8
TO,2011,551663.3
TO,2012,1103382.4
TO,2013,489696.3
TO,2014,708339.2
TO,2015,861357.2
TO,2016,835761.6
TO,2017,1069284.7
TO,2018,353442.8
TO,2019,778608.2
TO,2020,726708.8
TO,2021,504688.9
TO,2022,626374.9
TO,2023,444361.0
