Regiao,Ano,co2,frota,rebanho,internacoes,venda_comb,desmat_area,temp_media,chuva_media,pib_pc,area_destinada_colheita,area_colhida,consumo_energia_industrial
Norte,2014,526428541.85392684,48428295.0,45826142.0,117762,11493601.335402299,1096426.2407802255,26.17390316915541,1457.1873360938578,17847.13866002414,3232726,3203976,14830220.0
Norte,2015,624711827.9385444,52383858.0,47175989.0,103841,11101495.190005928,1271664.7036470056,26.685760332158758,1037.0250566893424,18353.745946379702,3627845,3608854,14885816.0
Norte,2016,721329189.1666116,55360929.0,47983190.0,93942,10351606.341123,1330950.6571709306,26.788219219948044,1517.3736507936508,19048.239164012248,3759487,3697561,15040844.0
Norte,2017,612966794.4285709,57766923.0,48508063.0,103713,10577896.667254,1072338.2338435906,26.393127952523727,1414.8400000000001,20514.73583085024,4029599,4016030,15204158.0
Norte,2018,642872250.7059838,60338501.0,48900788.0,102696,10397543.460655,1103987.6400746407,26.12265666911261,1403.55860581189,21313.933173247726,4043178,4031375,13211871.0
Norte,2019,859644313.1543547,63226715.0,49682199.0,104451,10965381.519013,1619841.7105981924,26.360421924390742,1746.2190242888325,22810.738057820046,4312330,4287907,13418475.0
Nordeste,2003,327738056.760094,42046690.0,24992158.0,83962,12056218.860699309,1164521.3104278378,25.332093815866184,1015.2347222222222,4426.210313979943,11974671,11319267,
Nordeste,2004,333708897.87823826,46060454.0,25966460.0,76841,12985614.42150287,1388781.0086508966,25.238674923714772,1300.7904761904763,4991.945539716254,12603737,11969992,25507973.0
Nordeste,2005,322968795.71387583,59646515.0,26969286.0,71626,13158848.81581967,1197600.2373308293,25.516703683694498,979.5194444444444,5543.93456914156,12589083,12167035,26308674.0
Nordeste,2006,308516333.82264614,65430724.0,27881219.0,63070,13754009.45892451,1143359.1775680843,25.22762654622396,710.7765432098765,6160.707679843954,12853423,12294145,27146401.0
Nordeste,2007,313938111.66765374,72770260.0,28711240.0,66768,14678021.7174424,1122168.815444818,25.604166162798798,394.4452421652422,6876.788394358577,12858841,12375439,28877916.0
Nordeste,2008,326787156.851903,81946745.0,28851880.0,382162,16525568.073058609,1151276.5384153847,25.333333652251998,719.3005741480741,7649.525363033586,13281366,12661388,29602549.0
Nordeste,2009,282280564.0125591,92449591.0,28289850.0,432291,16879068.738304865,1044153.737737628,25.63991225460285,1250.237682379349,8432.457729599888,13174841,12665814,27488528.0
Nordeste,2010,285909868.2871973,105100704.0,28762119.0,396153,18766503.45767269,973463.4859561716,25.965940365730333,837.9496825396826,9849.051837346755,12431859,11954526,29587859.0
Nordeste,2011,288535734.42002374,119660992.0,29585933.0,400122,20012471.02891669,1007988.3551351618,25.321901702670562,1035.8618539404065,10904.532087913576,13319788,12830976,28739878.0
Nordeste,2012,337942275.21620536,134246050.0,28244899.0,341468,22272428.44282275,1297456.5095700922,25.947740343175813,575.5284363686995,12117.956246414358,11985080,10643371,28902272.0
Nordeste,2013,342832516.2930148,148491499.0,28958676.0,343129,24285360.635294713,1264901.9267000437,26.09940276236572,819.3679692286271,12985.529033591063,11448321,10745108,28761270.0
Nordeste,2014,320602738.59434813,162112857.0,29350651.0,326744,27025268.185775,1071194.0826720763,25.68263990570424,802.1382191590086,14329.127685166257,12501736,11881156,27096183.0
Nordeste,2015,316219814.3513675,174418766.0,29092184.0,324234,25988723.69026573,1074586.0606574647,26.401480188551876,646.0181230854915,15003.309597674557,12249884,11552189,23930460.0
Nordeste,2016,303806742.11893916,184582779.0,28393671.0,278167,23907188.140828,947368.9104284543,26.444316923681516,608.8355179313016,15784.012709081411,11419435,10467273,22759558.0
Nordeste,2017,291322259.79991513,192709364.0,27791097.0,307312,24301501.245718002,931689.0390448606,26.007076973368264,715.5009395976115,16652.56741586285,11336911,10742821,22448048.0
Nordeste,2018,293398424.72427404,200850401.0,27837112.0,305175,23709718.797289,996662.9952635668,25.869296174970764,671.1081334243099,17702.847452789498,11277738,10786520,22405125.0
Nordeste,2019,325441606.92634386,209684215.0,28596654.0,313129,23745630.683589,1201528.1027059688,26.220977278434443,731.89540931727,18358.780619307392,11049599,10680679,22046459.0
Centro-Oeste,2003,1066709863.7759569,28019779.0,69888635.0,18068,8564014.9612533,2266259.6372885723,23.975583932958383,1027.2738095238096,12184.406093915346,12953551,12940905,
Centro-Oeste,2004,966776475.4335848,30756938.0,71168853.0,19169,9204958.251383899,1903360.312306636,24.245074938921253,1243.317857142857,13699.245630089317,15426320,15349152,5140116.0
Centro-Oeste,2005,773237894.080532,39804784.0,71984504.0,18549,8780964.112737201,1442270.7978872554,24.349682153281723,1136.2714285714285,14406.22686611554,16622985,16428890,5343158.0
Centro-Oeste,2006,535989470.2670095,43078821.0,70535922.0,18890,8664567.953965237,981040.9116844713,24.377781237773576,939.0010416666667,15328.731160290194,15274892,15231406,5386731.0
Centro-Oeste,2007,429297377.22262985,47245229.0,68088112.0,18486,9471368.175008532,747724.402690375,24.396341953223963,954.0472222222222,17614.76165442036,15170033,15153903,5697189.0
Centro-Oeste,2008,450539890.000968,52812500.0,68929795.0,124005,10612468.782525405,799807.2722770814,23.955438010897947,1115.2519886363636,20308.121925539617,16517617,16435788,6197896.0
Centro-Oeste,2009,329628275.0329062,58519404.0,70659695.0,135105,10936975.201337028,526168.3683229123,24.047263045321873,1394.9119648093842,22266.448617421105,16602185,16423460,6443307.0
Centro-Oeste,2010,333135672.63474053,64366919.0,72559996.0,122975,11850815.630428461,500194.9942612126,24.148860266180897,1069.3606916407869,25253.18330630396,17312596,17305581,6544523.0
