Estado,Ano,rebanho
RJ,2016,2409718.0
RJ,2017,2531239.0
RJ,2018,2552587.0
RJ,2019,2533164.0
RJ,2020,2605970.0
RJ,2021,2674067.0
RJ,2022,2701143.0
RJ,2023,2765715.0
RN,2004,942670.0
RN,2005,978494.0
RN,2006,1027289.0
RN,2007,1010238.0
RN,2008,1029240.0
RN,2009,1150028.0
RN,2010,1064575.0
RN,2011,1047797.0
RN,2012,858211.0
RN,2013,914777.0
RN,2014,972816.0
RN,2015,918952.0
RN,2016,840847.0
RN,2017,870000.0
RN,2018,863284.0
RN,2019,929451.0
RN,2020,988134.0
RN,2021,1015835.0
RN,2022,1059926.0
RN,2023,1173351.0
RO,2004,10671440.0
RO,2005,11349452.0
RO,2006,11484162.0
RO,2007,11007613.0
RO,2008,11176201.0
RO,2009,11532891.0
RO,2010,11842073.0
RO,2011,12182259.0
RO,2012,12218437.0
RO,2013,12329971.0
RO,2014,12744326.0
RO,2015,13397970.0
RO,2016,13682200.0
RO,2017,14091378.0
RO,2018,14367161.0
RO,2019,14349219.0
RO,2020,14804398.0
RO,2021,15110301.0
RO,2022,17688225.0
RO,2023,18162632.0
RR,2004,459000.0
RR,2005,507000.0
RR,2006,508600.0
RR,2007,481100.0
RR,2008,476200.0
RR,2009,475380.0
RR,2010,577050.0
RR,2011,651511.0
RR,2012,686491.0
RR,2013,747045.0
RR,2014,735962.0
RR,2015,794783.0
RR,2016,780877.0
RR,2017,787318.0
RR,2018,817198.0
RR,2019,879007.0
RR,2020,925109.0
RR,2021,937989.0
RR,2022,1133502.0
RR,2023,1181553.0
RS,2004,14669713.0
RS,2005,14239906.0
RS,2006,13974827.0
RS,2007,13516426.0
RS,2008,14115643.0
RS,2009,14366298.0
RS,2010,14469307.0
RS,2011,14478312.0
RS,2012,14140654.0
RS,2013,14037367.0
RS,2014,13956953.0
RS,2015,13737316.0
RS,2016,13590282.0
RS,2017,13353122.0
RS,2018,12550379.0
RS,2019,11968216.0
RS,2020,11128019.0
RS,2021,11056530.0
RS,2022,11932838.0
RS,2023,12012219.0
SC,2004,3263414.0
SC,2005,3376725.0
SC,2006,3460835.0
SC,2007,3488992.0
SC,2008,3884264.0
SC,2009,3976165.0
SC,2010,3985662.0
SC,2011,4039217.0
SC,2012,4072960.0
SC,2013,4201561.0
SC,2014,4285931.0
SC,2015,4382299.0
SC,2016,4499505.0
SC,2017,4302861.0
SC,2018,4296052.0
SC,2019,4452571.0
SC,2020,4532618.0
SC,2021,4541890.0
SC,2022,4484105.0
SC,2023,4540794.0
SE,2004,929794.0
SE,2005,1005177.0
SE,2006,1067508.0
SE,2007,1073692.0
SE,2008,1080833.0
SE,2009,1120832.0
SE,2010,1117765.0
SE,2011,1178771.0
SE,2012,1156157.0
SE,2013,1223215.0
SE,2014,1218972.0
SE,2015,1231130.0
SE,2016,1196248.0
SE,2017,1067121.0
SE,2018,1039346.0
SE,2019,1052263.0
SE,2020,1045507.0
SE,2021,1090821.0
SE,2022,1121930.0
SE,2023,1294262.0
SP,2004,13765873.0
SP,2005,13420780.0
SP,2006,12790383.0
SP,2007,11790564.0
SP,2008,11185556.0
SP,2009,11197605.0
SP,2010,11197697.0
SP,2011,11024796.0
SP,2012,10757383.0
SP,2013,10486750.0
SP,2014,10148423.0
SP,2015,10468135.0
SP,2016,11031408.0
SP,2017,11109523.0
SP,2018,10771635.0
SP,2019,10487012.0
SP,2020,10568637.0
SP,2021,10718494.0
SP,2022,11065605.0
SP,2023,10768360.0
TO,2004,7924546.0
TO,2005,7961926.0
TO,2006,7760590.0
TO,2007,7395450.0
TO,2008,7392515.0
TO,2009,7605249.0
TO,2010,7994200.0
TO,2011,8025400.0
TO,2012,8082336.0
TO,2013,8140580.0
TO,2014,8062227.0
TO,2015,8412404.0
TO,2016,8652161.0
TO,2017,8738477.0
TO,2018,8352513.0
TO,2019,8480724.0
TO,2020,9129804.0
TO,2021,10161938.0
TO,2022,10772509.0
TO,2023,11313309.0
