"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Rio Grande do Sul","101755727.69957969","107833544.75767799","96144222.77443111","100918174.69830877","99094215.57591715","96856935.83465986","94537003.54748845","99771467.55350782","92289247.89565647","96279747.27117431","104366301.04200178","100092879.168128","97053349.80180377","111192948.73298569","107589636.7525062","95650214.01356956","95662750.77312468","89338642.88112152","101557048.33463594","98247902.42423907","102330150.26340386","106703069.22961737","105963730.15804654","117516467.80093548","104737940.41344777","104814774.60973594","100614960.80757475","100931956.55985941","98703890.4424839","102979807.49253574","97159594.95873146","114026899.72989792","95125934.5505861","88515544.66376573"
"Mato Grosso do Sul","150843672.15305737","147671473.38772032","149289445.7946679","134388502.6512711","125899559.45368604","133775671.30796467","118070873.50896226","98908147.82448521","97768316.4148608","95038707.71633598","96146004.77343169","93956739.57380462","95048995.88975386","113028629.60283875","101031387.39866675","90999457.24720035","85784389.3417899","73673589.48534924","74458628.58423772","70513222.59969905","72152909.70690279","68103567.6110279","69903183.30886544","72904933.43630342","72975237.07497579","72569047.3972728","71978140.07689397","71327805.95187014","69768939.59222779","71831365.191455","74616807.47626238","78816101.78642882","70305990.39539708","79207643.26045677"
"Paraná","79653841.14851493","75520661.20082101","69751626.25313005","71405792.02774951","75358154.41486157","76594856.48581077","74119843.80897179","78497175.80206782","71215923.67031886","77865589.88565661","77751504.36054555","74269814.23593207","73182403.42794779","79711635.08076134","71829999.92332953","68644087.9694134","68493432.40967335","70118154.69344608","71901554.12189144","67781709.7037526","70173142.04232864","70932934.68784693","73442340.3351431","77219731.45101744","77584027.0159317","79074017.45328651","76874054.93077153","75013085.56685519","73393502.34630615","76583822.4946895","75405274.08226061","79824468.76947415","74715814.67831388","77044898.74899754"
"Não Alocado","69070371.17406368","64996443.97378445","64400596.6255362","66322064.31958103","69326901.54661703","72743841.32559294","79975409.39686108","83067956.02166635","74460233.85297847","88611290.99898732","69245212.4341793","61968589.04979038","67397148.19360542","70188040.04702508","75681742.19850063","76343092.77676326","77562752.15419081","58291686.26424809","57670434.51231672","53362523.13474178","58704388.66324347","63153289.531591356","62419310.31650038","62949277.01099462","73601381.61367622","72829685.55441633","67802431.68560722","73425357.13524778","74671408.19478442","74906530.8621644","69783860.06704147","73744522.1165976","72000391.87404582","69961422.71495272"
"Rio de Janeiro","31348654.876618627","33720887.310431436","32677597.715232134","32974927.79711049","34528855.97638602","34006653.31526364","32831263.964475483","37756144.897990204","41570040.98328668","40371249.34633283","44859718.28055601","45024252.07991926","46115275.04295789","45619612.050622344","46166640.43136058","50018314.39492731","49224171.550690785","56921705.20025947","66325263.760129206","65176239.193411246","68560666.77161631","70079669.60891986","75962864.1671865","79649221.59707199","76486174.51845911","75986684.41587874","68378871.038811","70969635.13435611","67854042.2443973","68911950.70204616","66637194.117152065","74866918.08920923","66719762.877654016","68207188.50990328"
"Santa Catarina","41091220.74445974","42625082.398009524","38631907.66284974","39905155.63211297","36647213.573054366","36915018.84585631","37434740.09971233","43156983.49428415","34473777.25236188","41593949.39141043","43161582.03769022","43095756.639454655","42215694.09562634","45063083.442377955","43680233.66178747","42841603.234093964","45541852.74427284","43056731.72660041","43789335.82112098","43703015.7527196","45299731.91412495","42435981.40078057","45268204.471527554","49588122.29060644","48687922.56435053","47601908.311325036","47567964.55336247","48066115.492165744","47316054.63275421","49855478.45265375","45767467.890126884","51173243.09393228","49057046.12949845","46448897.825554565"
"Piauí","16493197.205587942","14629212.388387173","14617995.917981897","13579990.075490149","16117023.62142289","14760725.608723085","12641058.147667596","14094827.794232534","14749555.545441858","17807500.336451937","15352575.55750261","19496594.705121893","14640546.047611726","16572944.191229675","29382988.269366115","23279707.61732841","17550320.46911688","17911143.279982917","20473264.550461","16335663.881481659","26685965.376082063","18797688.566743143","37056500.08943464","28918363.14220388","27795271.819875572","25138634.746207032","17895174.748293377","19746447.029965986","19508262.97408903","28858827.700640835","33279252.002530504","29206966.259747017","42550145.54049877","36481179.36899054"
"Ceará","22536972.50414917","24695070.85067064","17779702.514448512","15467667.465187754","15891253.185785707","17284702.37979005","16421836.044992223","17915587.330686226","20500223.633740216","31340249.03007052","22695777.205136795","19941449.814746693","19174057.737424888","18344161.914715778","20122183.02909877","26390888.06591555","23603929.845816977","23443747.448856004","22783884.029310595","21396443.2647872","24943942.973534588","24046808.8252807","24666791.09755858","28734313.952089146","33414192.527247876","32122307.507984754","30444532.881744392","31808874.670014273","28991951.205059588","32527972.52261111","28755681.92824536","35114506.31979734","31469280.294899724","35363140.003391236"
"Acre","21308961.33082353","24258285.442065075","27365415.813679025","26856386.084022272","39732672.26939555","36510945.88518717","40696525.91817104","34975100.731649525","32819747.182431214","38236521.478113465","37932934.085776016","31647694.81551793","48772993.063425526","54572496.37341327","40282813.86555734","40444407.87108589","31526472.967413463","25845620.818597216","26276979.38679711","26394153.086990736","28110621.14654153","23278814.49024828","22605305.48905868","26905714.992195975","28995881.645117607","31383914.81297627","27922279.35916194","31309979.825770732","34754042.8644408","60929334.7563185","53933078.575428426","65622205.597804174","74012850.03375398","29615770.901290406"
"Espírito Santo","21196011.15950024","23271168.976607572","20044502.69560466","20069282.382461466","22876133.051162433","23845962.674357995","19070610.827781357","21723468.98399994","24410945.429343306","19223498.249895193","24453337.28486385","19604488.164108597","20926809.52759273","23338018.199413463","19084663.88716426","18568918.93998621","19701738.844961293","25808194.88066482","23818104.46855134","24712771.79364225","28639714.048798405","30951856.904069908","31692487.971824244","34305865.823283754","34523346.73197899","35107749.258349165","33881927.256078325","33118402.770128854","31841472.741514646","30152089.107675135","30320720.06090762","33070582.526092924","31014781.536684796","29566932.231589705"
