Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2026*,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL INDUSTRIAL,15.794.018,15.727.145,,,,,,,,,,,31.521.163
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Sistemas isolados,14.807,15.426,16.638,15.481,14.932,11.870,12.703,12.726,14.120,13.651,13.609,12.387,168.351
Norte,1.422.629,1.311.415,1.455.393,1.309.075,1.285.001,1.254.688,1.304.542,1.335.821,1.306.953,1.316.450,1.262.789,1.290.463,15.855.219
Nordeste,1.895.931,1.816.736,1.957.873,1.877.723,1.944.359,1.889.829,1.850.345,1.897.413,1.778.911,1.861.238,1.812.927,1.753.569,22.336.853
Sudeste/C. Oeste,8.063.224,8.576.293,8.532.105,8.686.470,8.445.985,8.390.190,8.231.302,8.396.907,8.316.255,8.376.976,8.198.782,7.858.027,100.072.516
Sul,2.364.735,2.730.946,2.637.162,2.758.169,2.648.654,2.637.245,2.559.948,2.648.852,2.592.008,2.590.597,2.624.314,2.495.155,31.287.785
,,,,,,,,,,,,,
,2014,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL INDUSTRIAL,14.562.943,15.130.106,15.109.969,15.282.526,14.971.636,14.712.810,14.585.382,15.169.042,15.008.192,14.960.988,15.292.373,14.693.202,179.479.169
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,1.246.234,1.152.125,1.245.479,1.229.091,1.258.279,1.196.030,1.253.372,1.253.295,1.265.909,1.256.398,1.230.244,1.243.764,14.830.220
Nordeste,2.327.251,2.198.255,2.367.194,2.260.007,2.206.568,2.109.466,2.243.130,2.314.476,2.283.827,2.293.488,2.265.693,2.226.829,27.096.183
Sudeste,7.830.818,8.268.487,8.004.471,8.229.468,8.002.092,7.922.678,7.587.191,7.958.162,7.828.535,7.822.355,8.197.214,7.797.703,95.449.174
